M;3862;F;2020-10-19;29;6;3;;348;2022-02-15;;Prenha;10/01/2022
M;4049;F;2019-04-28;29;6;1;;425;2022-02-15;;Prenha;10/01/2022
M;1159;F;2019-04-28;29;6;1;;425;2022-02-15;;Prenha;21/02/2022
M;5402;F;2019-04-28;29;6;1;;438;2022-02-15;;Prenha;10/01/2022
M;9656;F;2020-04-22;29;6;1;;375;2022-02-15;;Prenha;10/01/2022
M;5399;F;2019-04-28;29;6;1;;425;2022-02-15;;Prenha;10/01/2022
M;3385;F;2019-04-28;29;6;1;;472;2022-02-15;;Prenha;10/01/2022
M;4280;F;2020-10-19;29;6;1;;342;2022-02-15;;Prenha;10/01/2022
M;5406;F;2020-10-19;29;6;1;;344;2022-02-15;;Prenha;10/01/2022
M;3055;F;2020-04-22;29;6;1;;362;2022-02-15;;Prenha;10/01/2022
M;4325;F;2020-04-22;29;6;1;;385;2022-02-15;;Prenha;10/01/2022
M;2360;F;2019-10-25;29;6;1;;398;2022-02-15;;Prenha;10/01/2022
M;1177;F;2019-10-25;29;6;1;;408;2022-02-15;;Prenha;10/01/2022
M;4570;F;2019-10-25;29;6;1;;418;2022-02-15;;Prenha;10/01/2022
M;9928;F;2019-04-28;29;6;1;;422;2022-02-15;;Prenha;10/01/2022
M;1269;F;2019-04-28;29;6;1;;442;2022-02-15;;Prenha;10/01/2022
M;9909;F;2020-10-19;29;6;1;;346;2022-02-15;;Prenha;07/02/2022
M;9343;F;2020-04-22;29;6;3;;372;2022-02-15;;Prenha;07/02/2022
M;5351;F;2020-04-22;29;6;2;;368;2022-02-15;;Prenha;07/02/2022
M;3113;F;2020-10-19;29;6;3;;338;2022-02-15;;Prenha;07/02/2022
M;5219;F;2020-04-22;29;6;3;;374;2022-02-15;;Prenha;07/02/2022
M;4954;F;2020-10-19;29;6;2;;330;2022-02-15;;Prenha;07/02/2022
M;3213;F;2020-04-22;29;6;3;;363;2022-02-15;;Prenha;07/02/2022
M;5519;F;2020-10-19;29;6;1;;312;2022-02-15;;Prenha;21/02/2022
M;5530;F;2020-10-19;29;6;1;;318;2022-02-15;;Prenha;21/02/2022
M;5832;F;2020-10-19;29;6;1;;356;2022-02-15;;Prenha;21/02/2022
M;4914;F;2020-04-22;29;6;1;;362;2022-02-15;;Prenha;21/02/2022
M;4476;F;2020-04-22;29;6;1;;374;2022-02-15;;Prenha;21/02/2022
M;5813;F;2020-04-22;29;6;1;;361;2022-02-15;;Prenha;21/02/2022
M;5855;F;2020-04-22;29;6;1;;361;2022-02-15;;Prenha;21/02/2022
M;3660;F;2020-04-22;29;6;1;;362;2022-02-15;;Prenha;21/02/2022
M;4010;F;2020-10-19;29;6;1;;340;2022-02-15;;Prenha;21/02/2022
M;5144;F;2019-10-25;29;6;1;;391;2022-02-15;;Prenha;21/02/2022
M;3701;F;2019-10-25;29;6;1;;393;2022-02-15;;Prenha;21/02/2022
M;5834;F;2020-10-19;29;6;1;;302;2022-02-15;;Prenha;21/02/2022
M;3714;F;2020-04-22;29;6;1;;376;2022-02-15;;Prenha;21/02/2022
M;4986;F;2020-10-19;29;6;1;;352;2022-02-15;;Prenha;21/02/2022
M;1607;F;2020-04-22;29;6;1;;364;2022-02-15;;Prenha;21/02/2022
M;5175;F;2020-04-22;29;6;1;;366;2022-02-15;;Prenha;21/02/2022
M;5842;F;2020-04-22;29;6;1;;370;2022-02-15;;Prenha;21/02/2022
M;4753;F;2020-04-22;29;6;1;;390;2022-02-15;;Prenha;21/02/2022
M;4333;F;2019-10-25;29;6;1;;407;2022-02-15;;Prenha;21/02/2022
M;5034;F;2019-04-28;29;6;1;;427;2022-02-15;;Prenha;21/02/2022
M;4143;F;2020-04-22;29;6;1;;370;2022-02-15;;Prenha;21/02/2022
M;5780;F;2020-10-19;29;6;3;;350;2022-02-15;;Prenha;21/02/2022
M;5221;F;2020-10-19;29;6;3;;351;2022-02-15;;Prenha;21/02/2022
M;6957;F;2020-04-22;29;6;3;;381;2022-02-15;;Prenha;21/02/2022
M;3631;F;2020-04-22;29;6;1;;365;2022-02-15;;Prenha;21/02/2022
M;5882;F;2020-04-22;29;6;1;;366;2022-02-15;;Prenha;21/02/2022
M;5329;F;2020-10-19;29;6;2;;315;2022-02-15;;Prenha;21/02/2022
M;5265;F;2020-04-22;29;6;2;;381;2022-02-15;;Prenha;21/02/2022
M;5281;F;2019-10-25;29;6;2;;408;2022-02-15;;Prenha;21/02/2022
M;5617;F;2020-10-19;29;6;2;;304;2022-02-15;;Prenha;21/02/2022
M;5339;F;2020-10-19;29;6;2;;314;2022-02-15;;Prenha;21/02/2022
M;5397;F;2020-10-19;29;6;2;;355;2022-02-15;;Prenha;21/02/2022
M;5366;F;2020-04-22;29;6;2;;370;2022-02-15;;Prenha;21/02/2022
M;5335;F;2020-10-19;29;6;2;;310;2022-02-15;;Prenha;21/02/2022
M;5619;F;2020-10-19;29;6;2;;340;2022-02-15;;Prenha;21/02/2022
M;5687;F;2020-04-22;29;6;2;;379;2022-02-15;;Prenha;21/02/2022
M;5311;F;2020-10-19;29;6;2;;327;2022-02-15;;Prenha;21/02/2022
M;5322;F;2020-10-19;29;6;2;;324;2022-02-15;;Prenha;21/02/2022
M;5301;F;2020-10-19;29;6;2;;350;2022-02-15;;Prenha;21/02/2022
M;5295;F;2020-04-22;29;6;2;;366;2022-02-15;;Prenha;21/02/2022
M;5341;F;2020-04-22;29;6;2;;381;2022-02-15;;Prenha;21/02/2022
M;4960;F;2019-10-25;29;6;2;;408;2022-02-15;;Prenha;21/02/2022
M;5282;F;2020-10-19;29;6;2;;348;2022-02-15;;Prenha;21/02/2022
M;5262;F;2020-10-19;29;6;2;;301;2022-02-15;;Prenha;21/02/2022
M;5691;F;2020-04-22;29;6;2;;365;2022-02-15;;Prenha;21/02/2022
M;5227;F;2019-10-25;29;6;1;;405;2022-02-15;;Prenha;21/02/2022
M;5533;F;2020-04-22;29;6;1;;361;2022-02-15;;Prenha;21/02/2022
M;3733;F;2020-04-22;29;6;1;;376;2022-02-15;;Prenha;21/02/2022
M;4506;F;2019-04-28;29;6;1;;451;2022-02-15;;Prenha;21/02/2022
M;5025;F;2020-10-19;29;6;1;;353;2022-02-15;;Prenha;21/02/2022
M;948;F;2019-04-28;29;6;1;;438;2022-02-15;;Prenha;21/02/2022
M;5527;F;2020-10-19;29;6;1;;345;2022-02-15;;Prenha;21/02/2022
