1;T 01;;13
1;Conf T 02;;13
1;Triangulo;;13
1;T 04;;13
1;T 05;;13
1;Fundo;;13
2;Varginha;;11
3;Conf T06;;13
3;Conf T07;;13
3;Conf Creep Fixo;;;
4;Piq 01;;6
4;Piq 02;;6
4;Piq 03;;6
4;Piq 04;;6
4;Varzea Dom;;12
5;Piq 09;;12
5;Piq 09 A;;12
5;Palhada Baixo 10;;12
5;Palhada Cima 11;;12
6;Piq 12;;13
6;Piq 12 A;;12
6;7 Cima 13;;7
6;7 Baixo 13 A;;7
7;Piq Ilha 14;;12
7;Piq 14 A;;12
7;Piq Atlas 15;;12
8;Casa;;9 
