1;Caixa dágua;5.95;6
1;Mandioca;0.56;6
1;Casa;0.86;6
1;Café;2.9;6
2;Varginha Cima;1.26;12
2;Varginha Baixo;2.27;12
3;Piq 06;7.92;12
3;Piq 05;11.49;12
3;Piq 04;14.9;12
4;Piq 03;16.79;12
4;Piq 02;18.61;12
4;Piq 01;16.85;12
5;Triangulo;5.76;12
5;Remanga;1.03;12
